Wall time,Step,Value
1638976889.8419716,9,-0.3840942978858948
1638976891.6269805,19,-0.7727249264717102
1638976893.1968632,29,-0.9104146957397461
1638976894.7033467,39,-0.9641245603561401
1638976896.6620884,49,-0.9723476767539978
1638976898.6206408,59,-0.9246411919593811
1638976900.2491095,69,-0.9230443239212036
1638976901.778933,79,-0.9623327255249023
1638976903.2985024,89,-0.9860368371009827
1638976904.8171709,99,-0.9948290586471558
1638976906.2771869,109,-0.9969220161437988
1638976907.810899,119,-0.9957361817359924
1638976909.2819426,129,-0.9965528845787048
1638976910.820924,139,-0.9962024688720703
1638976912.3021922,149,-0.9984267950057983
1638976913.9981077,159,-0.9990943074226379
1638976915.4686,169,-0.9994359016418457
1638976917.0167415,179,-0.9994106292724609
1638976918.4928143,189,-0.9995195865631104
1638976920.0425334,199,-0.9996832609176636
1638976921.517552,209,-0.9994432926177979
1638976923.0546436,219,-0.9995534420013428
1638976924.559583,229,-0.9996330738067627
1638976926.1040504,239,-0.9976875185966492
1638976927.591685,249,-0.9991431832313538
1638976929.1318526,259,-0.9995133876800537
1638976930.6107872,269,-0.9996164441108704
1638976932.142386,279,-0.9996085166931152
1638976933.6293561,289,-0.9992220401763916
1638976935.1878593,299,-0.9995933771133423
1638976936.7050033,309,-0.9998154640197754
1638976938.2273479,319,-0.9995230436325073
1638976939.7087657,329,-0.9998078346252441
1638976941.2361462,339,-0.9998520612716675
1638976942.7898393,349,-0.999840497970581
1638976944.6023855,359,-0.9997612833976746
1638976946.2571976,369,-0.9996365904808044
1638976947.7928793,379,-0.9997518658638
1638976949.3160648,389,-0.9997923374176025
1638976951.1500688,399,-0.9997620582580566
1638976953.2626064,409,-0.9996867775917053
1638976955.3123164,419,-0.9996985197067261
1638976956.7585082,429,-0.9996144771575928
1638976958.3373096,439,-0.9997059106826782
1638976959.8216507,449,-0.9996567368507385
1638976961.3997262,459,-0.99933922290802
1638976963.040536,469,-0.9994784593582153
1638976964.6979988,479,-0.9994608163833618
1638976966.2758954,489,-0.9995088577270508
1638976967.8255398,499,-0.9993085861206055
1638976969.3512557,509,-0.9991482496261597
1638976970.8901813,519,-0.9989948868751526
1638976972.701774,529,-0.9991529583930969
1638976974.298893,539,-0.9988976716995239
1638976976.1633263,549,-0.9990110397338867
1638976977.6343246,559,-0.9984427094459534
1638976979.1613414,569,-0.9976668953895569
1638976980.6529133,579,-0.9970542788505554
1638976982.1846077,589,-0.9959398508071899
1638976984.1938753,599,-0.9935369491577148
1638976986.6724412,609,-0.9406187534332275
1638976988.674872,619,-0.9657979011535645
1638976990.1478233,629,-0.9844826459884644
1638976991.8797405,639,-0.9841243028640747
1638976993.3502946,649,-0.9823051691055298
1638976994.8870728,659,-0.9934852719306946
1638976996.3607519,669,-0.9888671040534973
1638976997.9308944,679,-0.9744361639022827
1638976999.8692532,689,-0.9867268204689026
1638977001.394849,699,-0.9569260478019714
1638977002.9872632,709,-0.9693684577941895
1638977007.7159314,719,-0.7795767784118652
1638977009.6342585,729,-0.7821533679962158
1638977011.4645603,739,-0.42188361287117004
1638977012.9103541,749,-0.24103006720542908
1638977014.216589,759,-0.6324427723884583
1638977016.0239432,769,-0.8141339421272278
1638977017.3310618,779,-0.8257123827934265
1638977018.7203526,789,-0.9067116975784302
1638977020.4030461,799,-0.9518513679504395
1638977022.2783823,809,-0.9452862739562988
1638977023.9010682,819,-0.9281585216522217
1638977025.4054248,829,-0.892551064491272
1638977027.019473,839,-0.923647940158844
1638977028.5961452,849,-0.9484330415725708
1638977029.980949,859,-0.9723557829856873
1638977031.357772,869,-0.9673113822937012
1638977032.8938847,879,-0.9388121366500854
1638977034.3048358,889,-0.7295168042182922
