Wall time,Step,Value
1638974325.400123,9,-0.45484790205955505
1638974327.2566314,19,-0.5609539747238159
1638974328.9112456,29,-0.7432267069816589
1638974330.6756864,39,-0.8240780830383301
1638974332.54511,49,-0.8826544284820557
1638974334.0624387,59,-0.9401229619979858
1638974335.5018752,69,-0.9266399145126343
1638974337.345582,79,-0.9572351574897766
1638974339.049007,89,-0.9827450513839722
1638974340.8331504,99,-0.9927046298980713
1638974342.5281537,109,-0.9885951280593872
1638974344.1555712,119,-0.9958697557449341
1638974345.6592548,129,-0.99396812915802
1638974347.1177077,139,-0.9964917302131653
1638974348.6551871,149,-0.9979716539382935
1638974350.1213286,159,-0.9975435733795166
1638974351.6544108,169,-0.9922578930854797
1638974353.2900372,179,-0.9947065114974976
1638974355.4571013,189,-0.9967350959777832
1638974357.3398588,199,-0.9976803064346313
1638974358.8446724,209,-0.9987807869911194
1638974360.398551,219,-0.9986564517021179
1638974362.0205836,229,-0.9989593625068665
1638974363.7301776,239,-0.9993119835853577
1638974365.1792376,249,-0.9992529153823853
1638974366.6904287,259,-0.9982070922851562
1638974368.1396756,269,-0.9992963075637817
1638974369.6509116,279,-0.9995832443237305
1638974371.1621602,289,-0.9996539354324341
1638974372.6781926,299,-0.9996762275695801
1638974374.1247468,309,-0.9995783567428589
1638974375.6246665,319,-0.9996703863143921
1638974377.0711036,329,-0.999771237373352
1638974378.5891237,339,-0.999792218208313
1638974380.0377276,349,-0.9997663497924805
1638974381.5731091,359,-0.9997545480728149
1638974383.0412183,369,-0.9997537136077881
1638974384.5692506,379,-0.9999257326126099
1638974386.0213919,389,-0.9999498128890991
1638974387.5471475,399,-0.9997990131378174
1638974389.0035439,409,-0.9999040961265564
1638974390.5241385,419,-0.9997900724411011
1638974391.9734735,429,-0.9998421669006348
1638974393.5677354,439,-0.999937891960144
1638974395.02162,449,-0.9998323917388916
1638974396.5416012,459,-0.9998360276222229
1638974397.987803,469,-0.9998924732208252
1638974399.5025856,479,-0.9995782375335693
1638974400.961107,489,-0.9998959302902222
1638974402.475813,499,-0.9999099969863892
1638974403.972796,509,-0.9998276233673096
1638974407.9328167,519,-0.9998459815979004
1638974409.4070656,529,-0.9998689889907837
1638974410.8839653,539,-0.9998845458030701
1638974412.3642209,549,-0.9998677968978882
1638974413.8443773,559,-0.9999512434005737
1638974415.3633494,569,-0.9999499320983887
1638974416.8404477,579,-0.9997997283935547
1638974418.326479,589,-0.9998477697372437
1638974419.8141158,599,-0.9998947381973267
1638974421.3051789,609,-0.9997600317001343
1638974422.876362,619,-0.9998975992202759
1638974424.3648982,629,-0.9998849630355835
1638974425.8761382,639,-0.9998724460601807
1638974427.374804,649,-0.9996199607849121
1638974428.8607144,659,-0.9996891021728516
1638974430.3493176,669,-0.9998528957366943
1638974431.831261,679,-0.9999256730079651
1638974433.3220994,689,-0.9999147653579712
1638974434.797001,699,-0.9998950362205505
1638974436.3047526,709,-0.9999666213989258
1638974437.8265958,719,-0.9999629259109497
1638974439.3177624,729,-0.999930202960968
1638974440.782966,739,-0.9999637603759766
1638974442.2830303,749,-0.9999303817749023
1638974443.7576332,759,-0.9998655319213867
1638974445.2538006,769,-0.9999586343765259
1638974446.7154312,779,-0.9999575614929199
1638974448.2446887,789,-0.999932587146759
1638974449.7173095,799,-0.9999487996101379
1638974451.2211406,809,-0.999930739402771
1638974452.753477,819,-0.9999366402626038
1638974454.2595656,829,-0.9998048543930054
1638974455.734322,839,-0.9999725818634033
1638974457.235679,849,-0.9999520778656006
1638974458.7322676,859,-0.9999415874481201
1638974460.2524505,869,-0.9999613761901855
1638974461.733167,879,-0.9999685287475586
1638974463.2377737,889,-0.9997214078903198
1638974464.7081807,899,-0.999908447265625
1638974466.2169425,909,-0.9997411966323853
1638974467.6896574,919,-0.9999694228172302
1638974469.2057471,929,-0.9999629259109497
1638974470.723662,939,-0.9999285340309143
1638974472.2303195,949,-0.9999516010284424
1638974473.6990812,959,-0.9999475479125977
1638974475.2069948,969,-0.9999133944511414
1638974476.6632159,979,-0.999923825263977
1638974478.1742535,989,-0.9999184012413025
1638974479.6344225,999,-0.9999667406082153
1638974481.1840289,1009,-0.9999253749847412
1638974482.6920495,1019,-0.9999696016311646
1638974486.7954473,1029,-0.9999490976333618
1638974488.243668,1039,-0.9999567866325378
1638974489.7695928,1049,-0.9999443292617798
1638974491.23775,1059,-0.9999456405639648
1638974492.7886114,1069,-0.9999274015426636
1638974494.2571957,1079,-0.9999281764030457
1638974495.7878883,1089,-0.999947190284729
1638974497.2400904,1099,-0.999936044216156
1638974498.7683043,1109,-0.9999455213546753
1638974500.2254314,1119,-0.9999692440032959
1638974501.7516568,1129,-0.9999486207962036
1638974503.258132,1139,-0.9999373555183411
1638974504.7891521,1149,-0.9999386072158813
1638974506.2426827,1159,-0.9998979568481445
1638974507.7649612,1169,-0.9999728202819824
1638974509.220994,1179,-0.9999658465385437
1638974510.7388961,1189,-0.9999303817749023
1638974512.217515,1199,-0.9999532103538513
1638974513.7643635,1209,-0.9999513626098633
1638974515.225437,1219,-0.9999500513076782
1638974516.740778,1229,-0.9999454021453857
1638974518.189645,1239,-0.9999666213989258
1638974519.6992614,1249,-0.9999406933784485
1638974521.150906,1259,-0.9999521970748901
1638974522.666946,1269,-0.9999494552612305
1638974524.1181974,1279,-0.9999676942825317
1638974525.6646695,1289,-0.9999581575393677
1638974527.1207266,1299,-0.9999552965164185
1638974528.6418948,1309,-0.9999552965164185
1638974530.0937383,1319,-0.9999639987945557
1638974531.6186872,1329,-0.9999597072601318
1638974533.080385,1339,-0.9999566078186035
1638974534.6061916,1349,-0.9999373555183411
1638974536.1191816,1359,-0.9999608993530273
1638974537.6455896,1369,-0.9999620318412781
1638974539.104153,1379,-0.999958336353302
1638974540.6232805,1389,-0.9999626278877258
1638974542.0810468,1399,-0.9999537467956543
1638974543.6735046,1409,-0.9999644756317139
1638974545.1294513,1419,-0.999950647354126
1638974546.6681902,1429,-0.9999602437019348
1638974548.134373,1439,-0.999962329864502
1638974549.6476731,1449,-0.9999688863754272
1638974551.0960758,1459,-0.9999685287475586
1638974552.6068237,1469,-0.9999732971191406
1638974554.0533173,1479,-0.9999624490737915
1638974555.5581365,1489,-0.9999389052391052
1638974557.0101397,1499,-0.9999582171440125
1638974558.565453,1509,-0.9999600648880005
1638974560.0104587,1519,-0.999964714050293
1638974561.5142546,1529,-0.9999727010726929
1638974565.5164402,1539,-0.9999561309814453
1638974567.0000112,1549,-0.9999574422836304
1638974568.4924748,1559,-0.9999665021896362
1638974570.0292308,1569,-0.9999608397483826
1638974571.502026,1579,-0.9999694228172302
1638974573.0608537,1589,-0.9999708533287048
1638974574.5335906,1599,-0.9999284744262695
1638974576.0415456,1609,-0.9999657869338989
