Wall time,Step,Value
1638978084.0382116,9,-0.36463433504104614
1638978084.7770388,19,-0.549239993095398
1638978085.4689429,29,-0.6821349859237671
1638978086.1604235,39,-0.45074257254600525
1638978086.8377697,49,-0.6407257318496704
1638978087.3380787,59,-0.8248500823974609
1638978087.8136427,69,-0.8790556192398071
1638978088.3182867,79,-0.9347113370895386
1638978088.8170788,89,-0.9030026197433472
1638978089.3344052,99,-0.8543524742126465
1638978089.9663703,109,-0.8882341384887695
1638978090.454444,119,-0.9339447021484375
1638978090.9451632,129,-0.9425977468490601
1638978091.4474797,139,-0.9586942791938782
1638978092.0152466,149,-0.9657651782035828
1638978092.5857553,159,-0.970539927482605
1638978093.1506982,169,-0.9722568988800049
1638978093.689985,179,-0.9738673567771912
1638978094.2664087,189,-0.97564697265625
1638978094.855277,199,-0.974834680557251
1638978095.439575,209,-0.9758042097091675
1638978095.9960737,219,-0.9748185873031616
1638978096.5373492,229,-0.9582237005233765
1638978097.10204,239,-0.9609764218330383
1638978097.6751628,249,-0.9614788293838501
1638978098.2299056,259,-0.966436505317688
1638978098.8235116,269,-0.9757717847824097
1638978099.3773818,279,-0.976394772529602
1638978099.9414802,289,-0.9768205881118774
1638978100.5253527,299,-0.9775561690330505
1638978101.1408403,309,-0.976886510848999
1638978101.720006,319,-0.9765725135803223
1638978102.2783837,329,-0.9781396389007568
1638978102.8197274,339,-0.9781810641288757
1638978103.4149895,349,-0.9774201512336731
1638978104.031267,359,-0.9776060581207275
1638978104.6046777,369,-0.9781992435455322
1638978105.1840732,379,-0.9784493446350098
1638978105.7292418,389,-0.9785420894622803
1638978106.3162947,399,-0.97826087474823
1638978106.8891032,409,-0.9792495965957642
1638978107.460717,419,-0.9787865877151489
1638978108.0575836,429,-0.9785715937614441
1638978108.5904348,439,-0.9793074131011963
1638978109.1586938,449,-0.9794133305549622
1638978109.7483737,459,-0.9797050952911377
1638978110.3236082,469,-0.9795437455177307
1638978110.923282,479,-0.978505551815033
1638978111.4809191,489,-0.9798072576522827
1638978112.0491607,499,-0.9781175851821899
1638978112.6755054,509,-0.9790422916412354
1638978113.5977216,519,-0.9763377904891968
1638978114.1694934,529,-0.9775214791297913
1638978114.7024484,539,-0.9777939319610596
1638978115.2797046,549,-0.979665994644165
1638978115.8535287,559,-0.9794023036956787
1638978116.4469614,569,-0.9805871248245239
1638978117.0319002,579,-0.9784144759178162
1638978117.598412,589,-0.9801995754241943
1638978118.1981246,599,-0.9788454174995422
1638978118.795997,609,-0.9785151481628418
1638978119.3829901,619,-0.9781043529510498
1638978119.9664462,629,-0.9788117408752441
1638978120.5181105,639,-0.9789186716079712
1638978121.0965555,649,-0.9792841672897339
1638978121.689169,659,-0.9791027307510376
1638978122.2718403,669,-0.9794471263885498
1638978122.8440397,679,-0.9800770282745361
1638978123.368191,689,-0.9763121604919434
1638978123.9233758,699,-0.9794808030128479
1638978124.5096893,709,-0.9793670177459717
1638978125.1028962,719,-0.9799646139144897
1638978125.6725836,729,-0.9812270402908325
1638978126.231547,739,-0.9812314510345459
1638978126.7584536,749,-0.9789708256721497
1638978127.3233685,759,-0.980211079120636
1638978127.8981142,769,-0.9791469573974609
1638978128.481438,779,-0.9799067974090576
1638978129.0471814,789,-0.9814390540122986
1638978129.5980792,799,-0.9814482927322388
1638978130.1541336,809,-0.9823009967803955
1638978130.7246652,819,-0.9791550040245056
1638978131.2643268,829,-0.9814863801002502
1638978131.8344822,839,-0.9811643362045288
1638978132.3848944,849,-0.9811182022094727
1638978132.9228153,859,-0.9803036451339722
1638978133.5066998,869,-0.981722354888916
1638978134.0923882,879,-0.981890082359314
1638978134.6640291,889,-0.9836775660514832
1638978135.2409499,899,-0.9826860427856445
1638978135.7814717,909,-0.982478141784668
1638978136.346443,919,-0.9837221503257751
1638978136.9205954,929,-0.9831772446632385
1638978137.514673,939,-0.9815031290054321
1638978138.1030872,949,-0.9794015288352966
1638978138.6167614,959,-0.9833351373672485
1638978139.207549,969,-0.9832156896591187
1638978139.7874277,979,-0.981849730014801
1638978140.382772,989,-0.9825108647346497
1638978140.9671853,999,-0.9820300340652466
1638978141.5121531,1009,-0.9840399026870728
1638978142.0906205,1019,-0.9838966131210327
1638978143.0526066,1029,-0.9824385643005371
1638978143.6303983,1039,-0.9833760261535645
1638978144.2002718,1049,-0.9839901924133301
1638978144.760622,1059,-0.9835596084594727
1638978145.356642,1069,-0.9823311567306519
1638978145.9548576,1079,-0.9845424890518188
1638978146.535397,1089,-0.9840930700302124
1638978147.1169925,1099,-0.9828097820281982
1638978147.6480846,1109,-0.9841588139533997
1638978148.2168965,1119,-0.9852763414382935
1638978148.7742615,1129,-0.9847399592399597
1638978149.3598604,1139,-0.9852661490440369
1638978149.9294434,1149,-0.9851242899894714
1638978150.4746373,1159,-0.9850291609764099
1638978151.053798,1169,-0.9855973720550537
1638978151.6316235,1179,-0.9832400679588318
1638978152.2133272,1189,-0.9850188493728638
1638978152.79003,1199,-0.9851841330528259
1638978153.330336,1209,-0.9867088794708252
1638978153.8830416,1219,-0.9854499697685242
1638978154.4763405,1229,-0.9853415489196777
1638978155.0734484,1239,-0.984975278377533
1638978155.6636271,1249,-0.9871810674667358
1638978156.2484994,1259,-0.9861563444137573
1638978156.773656,1269,-0.9854121804237366
1638978157.357238,1279,-0.9872723817825317
1638978157.9560719,1289,-0.9873217940330505
1638978158.5633087,1299,-0.9873663187026978
1638978159.12615,1309,-0.9869480133056641
1638978159.674058,1319,-0.9860048294067383
1638978160.2069688,1329,-0.9874681234359741
1638978160.7739458,1339,-0.9869781732559204
1638978161.358356,1349,-0.9871194958686829
1638978161.9171445,1359,-0.985737681388855
1638978162.4245014,1369,-0.9864526987075806
1638978162.974034,1379,-0.9874829053878784
1638978163.5388055,1389,-0.9867956042289734
1638978164.1100545,1399,-0.9877246618270874
1638978164.673605,1409,-0.987669050693512
1638978165.2465367,1419,-0.9869304895401001
1638978165.813312,1429,-0.9857146739959717
1638978166.4032643,1439,-0.9865843057632446
1638978166.9998431,1449,-0.9867832660675049
1638978167.582133,1459,-0.988068699836731
1638978168.1754317,1469,-0.986305832862854
1638978168.7225423,1479,-0.9879858493804932
1638978169.3012984,1489,-0.9867528080940247
1638978169.8515155,1499,-0.9885913729667664
1638978170.4299886,1509,-0.9878926277160645
1638978171.0222883,1519,-0.9877465963363647
1638978171.5717776,1529,-0.9865319132804871
1638978172.4574628,1539,-0.9870389103889465
1638978173.0913537,1549,-0.9886983036994934
1638978173.656369,1559,-0.9871103763580322
1638978174.2223997,1569,-0.9881938695907593
1638978174.7795424,1579,-0.9875777959823608
1638978175.3502479,1589,-0.987450361251831
1638978175.942709,1599,-0.9874597787857056
1638978176.5477397,1609,-0.9880385398864746
1638978177.1175032,1619,-0.9885035753250122
1638978177.650864,1629,-0.9868872165679932
1638978178.239211,1639,-0.9879282712936401
1638978178.8029218,1649,-0.9890494346618652
1638978179.3934684,1659,-0.9867618680000305
1638978179.9608798,1669,-0.9874014258384705
1638978180.5173643,1679,-0.9883662462234497
1638978181.054536,1689,-0.9881354570388794
1638978181.618807,1699,-0.9893965125083923
1638978182.1970859,1709,-0.9885362386703491
1638978182.784453,1719,-0.9880138635635376
1638978183.366365,1729,-0.9895325899124146
1638978183.8765566,1739,-0.9859318733215332
1638978184.4475617,1749,-0.98774254322052
1638978185.022526,1759,-0.9873184561729431
1638978185.5928986,1769,-0.9879162311553955
1638978186.1677892,1779,-0.9888970851898193
1638978186.6932373,1789,-0.9885046482086182
1638978187.2769809,1799,-0.9885586500167847
1638978187.8485415,1809,-0.9895462393760681
1638978188.4415145,1819,-0.9888620376586914
1638978189.0097451,1829,-0.9884339570999146
1638978189.5510993,1839,-0.9889219403266907
1638978190.1069722,1849,-0.9882155656814575
1638978190.7122297,1859,-0.9887223243713379
