Wall time,Step,Value
1638978564.8499272,9,-0.36119574308395386
1638978565.619761,19,-0.5693974494934082
1638978566.322874,29,-0.7009821534156799
1638978566.9903471,39,-0.8781845569610596
1638978567.4749684,49,-0.9251372218132019
1638978567.9674542,59,-0.9462059140205383
1638978568.4584765,69,-0.958188533782959
1638978568.9608886,79,-0.9234568476676941
1638978569.4600945,89,-0.919299304485321
1638978569.9672484,99,-0.8969465494155884
1638978570.4594102,109,-0.9412401914596558
1638978570.953242,119,-0.9557885527610779
1638978571.6540313,129,-0.9607943296432495
1638978572.2486515,139,-0.9646304845809937
1638978572.7487583,149,-0.9615817666053772
1638978573.2352972,159,-0.9641342163085938
1638978573.709118,169,-0.9656060934066772
1638978574.213357,179,-0.9645397067070007
1638978574.7127383,189,-0.9627877473831177
1638978575.2101848,199,-0.9623984694480896
1638978575.7171633,209,-0.9611252546310425
1638978576.20866,219,-0.9536213874816895
1638978576.6831563,229,-0.9442488551139832
1638978577.207677,239,-0.9431614875793457
1638978577.7089586,249,-0.9608692526817322
1638978578.2126498,259,-0.9655150771141052
1638978578.7265105,269,-0.9709508419036865
1638978579.2172992,279,-0.9719644784927368
1638978579.6880991,289,-0.9731705784797668
1638978580.1890807,299,-0.9706401824951172
1638978580.6950183,309,-0.9707051515579224
1638978581.1888995,319,-0.9652365446090698
1638978581.699062,329,-0.9674046039581299
1638978582.189006,339,-0.9669480919837952
1638978582.6687312,349,-0.9673624038696289
1638978583.1765227,359,-0.9627425670623779
1638978583.6921716,369,-0.9659936428070068
1638978584.2087824,379,-0.9656916856765747
1638978584.7148068,389,-0.9561191201210022
1638978585.2160053,399,-0.9488440752029419
1638978585.6900017,409,-0.9442542791366577
1638978586.2019458,419,-0.9254205822944641
1638978586.7109423,429,-0.9147859811782837
1638978587.2196164,439,-0.8712896108627319
1638978587.7250552,449,-0.7889097929000854
1638978588.2240555,459,-0.7881608009338379
1638978588.7025468,469,-0.8747502565383911
1638978589.209182,479,-0.9671052098274231
1638978589.7127473,489,-0.9845380187034607
1638978590.2219825,499,-0.9872509837150574
1638978590.7323415,509,-0.9896978139877319
1638978591.22917,519,-0.9912447929382324
1638978591.7040362,529,-0.9912834167480469
1638978592.2107766,539,-0.991205096244812
1638978592.778816,549,-0.9917743802070618
1638978593.3033972,559,-0.9908726215362549
1638978593.8173914,569,-0.9918879270553589
1638978594.2992294,579,-0.9900385141372681
1638978594.7806764,589,-0.9904979467391968
1638978595.2912385,599,-0.9914272427558899
1638978595.7959015,609,-0.9917821884155273
1638978596.303007,619,-0.9904336929321289
1638978596.7983391,629,-0.9912052750587463
1638978597.287599,639,-0.9909499883651733
1638978597.7646255,649,-0.9910745620727539
1638978598.2668252,659,-0.9902677536010742
1638978598.767673,669,-0.9911447763442993
1638978599.2783895,679,-0.9908782243728638
1638978599.780475,689,-0.991147518157959
1638978600.2696965,699,-0.9909771680831909
1638978600.7478428,709,-0.9910209774971008
1638978601.5925977,719,-0.9900808930397034
1638978602.1071353,729,-0.9899138808250427
1638978602.6083326,739,-0.9903598427772522
1638978603.1121337,749,-0.9903697967529297
1638978603.5859747,759,-0.9909525513648987
1638978604.0778928,769,-0.9921965003013611
1638978604.5683546,779,-0.9925732016563416
1638978605.0685275,789,-0.9927680492401123
1638978605.5722291,799,-0.9928033947944641
1638978606.0815966,809,-0.9925503730773926
1638978606.561137,819,-0.9923601150512695
1638978607.0513573,829,-0.991874098777771
1638978607.55371,839,-0.9924912452697754
1638978608.0596488,849,-0.9915305972099304
1638978608.5505753,859,-0.9924587607383728
1638978609.0535276,869,-0.9928747415542603
1638978609.5426955,879,-0.9929029941558838
1638978610.030028,889,-0.9927879571914673
1638978610.5389593,899,-0.9919590950012207
1638978611.0599957,909,-0.9923529028892517
1638978611.5593495,919,-0.9925146102905273
1638978612.0526078,929,-0.9925528168678284
1638978612.523569,939,-0.9929347634315491
1638978613.0126777,949,-0.9935281276702881
1638978613.511632,959,-0.992767333984375
1638978614.025494,969,-0.9915660619735718
1638978614.5242488,979,-0.9922324419021606
1638978615.017319,989,-0.9920945167541504
1638978615.495351,999,-0.9924737215042114
1638978615.9949043,1009,-0.9930524230003357
1638978616.491334,1019,-0.99322909116745
1638978616.9941514,1029,-0.9932094812393188
1638978617.5008078,1039,-0.9922657012939453
1638978618.0091834,1049,-0.99251389503479
1638978618.4908252,1059,-0.9924117922782898
1638978618.979963,1069,-0.9926130771636963
1638978619.4873774,1079,-0.9934982061386108
1638978619.985088,1089,-0.9934834241867065
1638978620.487593,1099,-0.9930733442306519
1638978620.9791563,1109,-0.9926639199256897
1638978621.4549184,1119,-0.9927183389663696
1638978621.9394224,1129,-0.9926306009292603
1638978622.4475272,1139,-0.9928876757621765
1638978623.042182,1149,-0.9935250878334045
1638978623.545092,1159,-0.993443489074707
1638978624.0381594,1169,-0.9936121106147766
1638978624.5118794,1179,-0.9928112030029297
1638978625.01047,1189,-0.992403507232666
1638978625.5133514,1199,-0.9917066097259521
1638978626.0206242,1209,-0.992698073387146
1638978626.5189779,1219,-0.9931741952896118
1638978627.012134,1229,-0.9936280250549316
1638978627.493009,1239,-0.9933732748031616
1638978627.9946926,1249,-0.9927382469177246
1638978628.4954689,1259,-0.9926278591156006
1638978629.0039241,1269,-0.9928929805755615
1638978629.5000548,1279,-0.9930905103683472
1638978630.0013068,1289,-0.9933636784553528
1638978630.475214,1299,-0.9932788610458374
1638978630.9738786,1309,-0.9930424690246582
1638978631.4871037,1319,-0.9922364950180054
1638978631.984439,1329,-0.992083728313446
1638978632.4959583,1339,-0.9923897385597229
1638978633.0089066,1349,-0.9935858845710754
1638978633.4804173,1359,-0.9936931133270264
1638978633.9712043,1369,-0.9936808347702026
1638978634.4690475,1379,-0.9936609268188477
1638978634.9776168,1389,-0.9935686588287354
1638978635.479181,1399,-0.9935232400894165
1638978635.9945564,1409,-0.993710994720459
1638978636.473216,1419,-0.9934601783752441
1638978636.9698792,1429,-0.9926502704620361
1638978637.842983,1439,-0.9929759502410889
1638978638.3568103,1449,-0.9930434823036194
1638978638.8568816,1459,-0.9936599731445312
1638978639.342091,1469,-0.9936217069625854
1638978639.8260748,1479,-0.9937136173248291
1638978640.319606,1489,-0.9933685064315796
1638978640.827336,1499,-0.9931823015213013
1638978641.3239214,1509,-0.9934707880020142
1638978641.8303518,1519,-0.9929419159889221
1638978642.3213177,1529,-0.993497371673584
1638978642.8069098,1539,-0.9934301376342773
1638978643.3069634,1549,-0.9928156137466431
1638978643.811678,1559,-0.9925938248634338
1638978644.3220885,1569,-0.9930213689804077
1638978644.8153217,1579,-0.9935344457626343
1638978645.2981944,1589,-0.9936331510543823
1638978645.7755756,1599,-0.9925364255905151
1638978646.2836027,1609,-0.9932205080986023
1638978646.783645,1619,-0.9928709268569946
1638978647.2930334,1629,-0.9930962324142456
1638978647.7968235,1639,-0.9938585758209229
1638978648.2865045,1649,-0.9934030771255493
1638978648.7677557,1659,-0.9930590391159058
1638978649.274416,1669,-0.9928434491157532
1638978649.784319,1679,-0.993384838104248
1638978650.2893186,1689,-0.9937704801559448
1638978650.7969532,1699,-0.9933474063873291
1638978651.284502,1709,-0.99349445104599
1638978651.7658718,1719,-0.9933078289031982
1638978652.2653213,1729,-0.9936559200286865
1638978652.8541455,1739,-0.9935228824615479
1638978653.359003,1749,-0.9937960505485535
1638978653.8638387,1759,-0.99360591173172
1638978654.3415368,1769,-0.9915230870246887
1638978654.823571,1779,-0.9918274879455566
1638978655.3363113,1789,-0.9926307797431946
1638978655.8427937,1799,-0.9936492443084717
1638978656.3511372,1809,-0.9937923550605774
1638978656.8465645,1819,-0.9937121868133545
1638978657.331159,1829,-0.9937946200370789
1638978657.828247,1839,-0.9936577677726746
1638978658.338757,1849,-0.9929156303405762
1638978658.8455856,1859,-0.9930463433265686
1638978659.3461225,1869,-0.9934515953063965
1638978659.861237,1879,-0.9938817024230957
1638978660.3412175,1889,-0.9935994148254395
1638978660.8224335,1899,-0.9933505058288574
1638978661.3217735,1909,-0.9934452772140503
1638978661.8381612,1919,-0.9936093688011169
1638978662.3408713,1929,-0.9940142631530762
1638978662.853738,1939,-0.9937757253646851
1638978663.3263702,1949,-0.9938614368438721
1638978663.813317,1959,-0.9939055442810059
1638978664.3239799,1969,-0.9935449957847595
1638978664.8251784,1979,-0.9935005903244019
1638978665.3319821,1989,-0.9935433268547058
1638978665.8410132,1999,-0.9938682913780212
1638978666.3255422,2009,-0.9938516020774841
1638978666.8184736,2019,-0.9936589002609253
1638978667.3183336,2029,-0.993013858795166
1638978667.8274581,2039,-0.9911315441131592
1638978668.3207483,2049,-0.9936330318450928
1638978668.8215194,2059,-0.9939031600952148
1638978669.3133764,2069,-0.9893491268157959
1638978669.7956152,2079,-0.9910621643066406
1638978670.2983608,2089,-0.9922693967819214
1638978670.7952142,2099,-0.9936074018478394
1638978671.2928348,2109,-0.9937933683395386
1638978671.7877645,2119,-0.9940374493598938
1638978672.273014,2129,-0.9939555525779724
1638978672.7549117,2139,-0.9907132387161255
1638978673.251893,2149,-0.9932268857955933
1638978674.1233459,2159,-0.9938551187515259
1638978674.6325257,2169,-0.9939563274383545
1638978675.1299765,2179,-0.9936382174491882
1638978675.610986,2189,-0.9931775331497192
1638978676.1219687,2199,-0.9937997460365295
1638978676.63056,2209,-0.9939345121383667
1638978677.1322815,2219,-0.9938342571258545
1638978677.6360226,2229,-0.9935504198074341
1638978678.1268578,2239,-0.9930266737937927
1638978678.6089284,2249,-0.9936449527740479
1638978679.104881,2259,-0.9939284324645996
1638978679.6147108,2269,-0.9939472675323486
1638978680.1169093,2279,-0.9937675595283508
1638978680.6112142,2289,-0.9940019249916077
1638978681.0963774,2299,-0.9934328198432922
1638978681.576267,2309,-0.9936932921409607
1638978682.0644855,2319,-0.9935908913612366
1638978682.5680385,2329,-0.9937755465507507
1638978683.1395397,2339,-0.9916673898696899
1638978683.6355193,2349,-0.9937242269515991
1638978684.136163,2359,-0.9936126470565796
1638978684.6234426,2369,-0.9940695762634277
1638978685.1245484,2379,-0.9926056861877441
1638978685.6262696,2389,-0.9939110279083252
1638978686.1434433,2399,-0.9941302537918091
1638978686.645431,2409,-0.9936537742614746
1638978687.1468277,2419,-0.9938076734542847
1638978687.6278906,2429,-0.9921324253082275
1638978688.134269,2439,-0.9937276244163513
1638978688.6427717,2449,-0.994044303894043
1638978689.154024,2459,-0.994147539138794
1638978689.66312,2469,-0.9940060973167419
1638978690.1683547,2479,-0.9938517808914185
1638978690.6446812,2489,-0.9938688278198242
1638978691.1445026,2499,-0.9938730001449585
1638978691.660936,2509,-0.9940271973609924
1638978692.172149,2519,-0.9917128086090088
1638978692.6788533,2529,-0.9940321445465088
1638978693.1816318,2539,-0.9939502477645874
1638978693.663955,2549,-0.993261456489563
1638978694.1635087,2559,-0.993680477142334
1638978694.6712244,2569,-0.9941524863243103
1638978695.1966727,2579,-0.9937597513198853
1638978695.703131,2589,-0.9930957555770874
1638978696.2009578,2599,-0.9939069747924805
1638978696.680925,2609,-0.9941247701644897
1638978697.177654,2619,-0.9939047694206238
1638978697.6808197,2629,-0.9939018487930298
1638978698.1955903,2639,-0.9885357022285461
1638978698.7009513,2649,-0.994011402130127
1638978699.1847563,2659,-0.9941320419311523
1638978699.6681254,2669,-0.9939320087432861
1638978700.172708,2679,-0.993992805480957
1638978700.6674387,2689,-0.9940952658653259
1638978701.1832962,2699,-0.9941091537475586
1638978701.6810653,2709,-0.9942076802253723
1638978702.1687539,2719,-0.9939182996749878
1638978702.6424592,2729,-0.9941439628601074
1638978703.1425002,2739,-0.9939166307449341
1638978703.6414254,2749,-0.993777871131897
1638978704.1547744,2759,-0.9939634203910828
1638978704.6576815,2769,-0.9939996600151062
1638978705.1549158,2779,-0.994185209274292
1638978705.6355696,2789,-0.9941925406455994
1638978706.1410875,2799,-0.9941846132278442
1638978706.6451077,2809,-0.9936336278915405
1638978707.150149,2819,-0.9939135313034058
1638978707.6457877,2829,-0.9939335584640503
1638978708.1393657,2839,-0.9940714240074158
1638978708.619267,2849,-0.9939091205596924
1638978709.1162379,2859,-0.9941345453262329
1638978709.6185458,2869,-0.9940358400344849
1638978710.480463,2879,-0.9943264722824097
1638978710.9926481,2889,-0.9941710233688354
1638978711.467162,2899,-0.9940232634544373
1638978711.9538937,2909,-0.9938153028488159
1638978712.458185,2919,-0.9941262006759644
1638978713.0160336,2929,-0.9939557909965515
1638978713.5202253,2939,-0.9937401413917542
1638978714.033013,2949,-0.9942197799682617
1638978714.5061688,2959,-0.9942795634269714
1638978715.001588,2969,-0.9940943717956543
1638978715.5031142,2979,-0.9942433834075928
1638978716.0111334,2989,-0.9937108755111694
1638978716.5042176,2999,-0.9943402409553528
1638978717.0130682,3009,-0.993750274181366
1638978717.4833796,3019,-0.9940328598022461
1638978717.9768245,3029,-0.9939544200897217
1638978718.4799507,3039,-0.9931418895721436
1638978718.9854643,3049,-0.9939185976982117
1638978719.4877448,3059,-0.9942244291305542
1638978719.9902172,3069,-0.9941268563270569
1638978720.4764287,3079,-0.9940600395202637
1638978720.9614193,3089,-0.9943852424621582
1638978721.4695718,3099,-0.9943612217903137
1638978721.9743216,3109,-0.9941681623458862
1638978722.4780526,3119,-0.9943699240684509
1638978722.9836235,3129,-0.9942246675491333
1638978723.4586437,3139,-0.9942967891693115
1638978723.94639,3149,-0.9944632053375244
1638978724.454082,3159,-0.9943538904190063
1638978724.9597738,3169,-0.9940210580825806
1638978725.4621918,3179,-0.9941580295562744
1638978725.96986,3189,-0.9944024682044983
1638978726.458187,3199,-0.9943419694900513
1638978726.941542,3209,-0.9942406415939331
1638978727.4443278,3219,-0.9937989711761475
1638978727.9479043,3229,-0.9942682981491089
1638978728.4570448,3239,-0.9888955950737
1638978728.96077,3249,-0.9921139478683472
1638978729.4391246,3259,-0.9941914081573486
1638978729.9342735,3269,-0.9942530393600464
1638978730.4519138,3279,-0.9878274202346802
1638978730.9522278,3289,-0.9938739538192749
1638978731.4600012,3299,-0.9936554431915283
1638978731.9612079,3309,-0.9942371249198914
