Wall time,Step,Value
1639013060.4487414,718,0.48461970686912537
1639013145.6066158,1437,0.4219161868095398
1639013230.734584,2156,0.45318999886512756
1639013314.3750694,2875,0.3760085999965668
1639013397.9744515,3594,0.315828412771225
1639013481.7418206,4313,0.22677211463451385
1639013565.460953,5032,0.20741508901119232
1639013649.2351477,5751,0.13636980950832367
1639013732.956127,6470,0.16113899648189545
1639013816.9406648,7189,0.12234503030776978
1639013901.1343195,7908,0.1026645079255104
1639013985.532995,8627,0.10434091836214066
1639014069.72153,9346,0.09156615287065506
1639014153.8605778,10065,0.10275179892778397
1639014238.1364024,10784,0.09051983058452606
1639014322.457561,11503,0.09257533401250839
1639014406.6703846,12222,0.08418187499046326
1639014491.0342479,12941,0.08546856790781021
1639014575.2250988,13660,0.08461008965969086
1639014659.5188916,14379,0.08294951915740967
