Wall time,Step,Value
1638985619.4535081,718,0.12807796895503998
1638985805.0800583,1437,0.08273844420909882
1638985981.5900364,2156,0.07095924019813538
1638986159.5276968,2875,0.06532350182533264
1638986336.250028,3594,0.059811949729919434
1638986513.310106,4313,0.05596761405467987
1638986690.3070376,5032,0.052170999348163605
1638986867.4149616,5751,0.04937764257192612
1638987044.5226657,6470,0.04932234436273575
1638987221.3942966,7189,0.04447336494922638
1638987399.4927804,7908,0.04538067802786827
1638987577.9409635,8627,0.0426446907222271
1638987756.3496158,9346,0.042732127010822296
1638987934.5433679,10065,0.04197678714990616
1638988112.8306549,10784,0.039865508675575256
1638988291.1482897,11503,0.039216384291648865
1638988469.2792373,12222,0.03919297084212303
1638988647.9173312,12941,0.037973761558532715
1638988826.1260242,13660,0.03793572261929512
1638989004.2362854,14379,0.036412205547094345
